Script started on Wed Sep 26 22:35:04 2018
[?1034hbash-3.2$ time python3 puzzlesolver.py test_pancakes1.config greedy FlipPoints
Algorithm is greedy
goal state is  [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
Found!
====Path==== 
[-1, -11, -3, -6, -9, -4, -7, -10, -5, -8, -2]
[2, 8, 5, 10, 7, 4, 9, 6, 3, 11, 1]
[-11, -3, -6, -9, -4, -7, -10, -5, -8, -2, 1]
[-1, 2, 8, 5, 10, 7, 4, 9, 6, 3, 11]
[1, 2, 8, 5, 10, 7, 4, 9, 6, 3, 11]
[-11, -3, -6, -9, -4, -7, -10, -5, -8, -2, -1]
[8, 5, 10, 7, 4, 9, 6, 3, 11, -2, -1]
[1, 2, -11, -3, -6, -9, -4, -7, -10, -5, -8]
[5, 10, 7, 4, 9, 6, 3, 11, -2, -1, -8]
[8, 1, 2, -11, -3, -6, -9, -4, -7, -10, -5]
[4, 9, 6, 3, 11, -2, -1, -8, -7, -10, -5]
[5, 10, 7, 8, 1, 2, -11, -3, -6, -9, -4]
[9, 6, 3, 11, -2, -1, -8, -7, -10, -5, -4]
[1, 2, -11, -3, -6, -9, -8, -7, -10, -5, -4]
[4, 5, 10, 7, 8, 9, 6, 3, 11, -2, -1]
[-11, -3, -6, -9, -8, -7, -10, -5, -4, -2, -1]
[1, 2, 4, 5, 10, 7, 8, 9, 6, 3, 11]
[-3, -6, -9, -8, -7, -10, -5, -4, -2, -1, 11]
[-11, 1, 2, 4, 5, 10, 7, 8, 9, 6, 3]
[-6, -9, -8, -7, -10, -5, -4, -2, -1, 11, 3]
[-3, -11, 1, 2, 4, 5, 10, 7, 8, 9, 6]
[-2, -1, 11, 3, 4, 5, 10, 7, 8, 9, 6]
[-11, 1, 2, 3, 4, 5, 10, 7, 8, 9, 6]
[-6, -9, -8, -7, -10, -5, -4, -3, -2, -1, 11]
[1, 2, 3, 4, 5, 10, 7, 8, 9, 6, 11]
[-11, -6, -9, -8, -7, -10, -5, -4, -3, -2, -1]
[10, 7, 8, 9, 6, 11, -5, -4, -3, -2, -1]
[1, 2, 3, 4, 5, -11, -6, -9, -8, -7, -10]
[7, 8, 9, 6, 11, -5, -4, -3, -2, -1, -10]
[10, 1, 2, 3, 4, 5, -11, -6, -9, -8, -7]
[6, 11, -5, -4, -3, -2, -1, -10, -9, -8, -7]
[-11, -6, -5, -4, -3, -2, -1, -10, -9, -8, -7]
[7, 8, 9, 10, 1, 2, 3, 4, 5, 6, 11]
[-6, -5, -4, -3, -2, -1, -10, -9, -8, -7, 11]
[-11, 7, 8, 9, 10, 1, 2, 3, 4, 5, 6]
[-10, -9, -8, -7, 11, 1, 2, 3, 4, 5, 6]
[7, 8, 9, 10, 11, 1, 2, 3, 4, 5, 6]
[-6, -5, -4, -3, -2, -1, -11, -10, -9, -8, -7]
[1, 2, 3, 4, 5, 6, -11, -10, -9, -8, -7]
[7, 8, 9, 10, 11, -6, -5, -4, -3, -2, -1]
[-11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
====Total Nodes Created (Time)====
Size: 42
====Max Frontier List Size (Space)====
Size: 41
====Max Explored List Size (Space)====
Size: 41
========

real	0m0.180s
user	0m0.069s
sys	0m0.045s



bash-3.2$ time python3 puzzlesolver.py test_pancakes2.config greedy FlipPoints
Algorithm is greedy
goal state is  [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]
Found!
====Path==== 
[1, 3, 5, 2, 4, 6, 8, 10, 7, 9, 11, 13, -15, 12, 14, 16, -18, 20, 17, 19, 21, 23, 25, 22, 24, 26, 28, -30, -27, 29, 31, 33, 35, 32, 34, 36, 38, 40, 37, 39, 41, 43, -45, -42, -44, 46, 48, 50, 47, 49]
[-49, -47, -50, -48, -46, 44, 42, 45, -43, -41, -39, -37, -40, -38, -36, -34, -32, -35, -33, -31, -29, 27, 30, -28, -26, -24, -22, -25, -23, -21, -19, -17, -20, 18, -16, -14, -12, 15, -13, -11, -9, -7, -10, -8, -6, -4, -2, -5, -3, -1]
[3, 5, 2, 4, 6, 8, 10, 7, 9, 11, 13, -15, 12, 14, 16, -18, 20, 17, 19, 21, 23, 25, 22, 24, 26, 28, -30, -27, 29, 31, 33, 35, 32, 34, 36, 38, 40, 37, 39, 41, 43, -45, -42, -44, 46, 48, 50, 47, 49, -1]
[1, -49, -47, -50, -48, -46, 44, 42, 45, -43, -41, -39, -37, -40, -38, -36, -34, -32, -35, -33, -31, -29, 27, 30, -28, -26, -24, -22, -25, -23, -21, -19, -17, -20, 18, -16, -14, -12, 15, -13, -11, -9, -7, -10, -8, -6, -4, -2, -5, -3]
[5, 2, 4, 6, 8, 10, 7, 9, 11, 13, -15, 12, 14, 16, -18, 20, 17, 19, 21, 23, 25, 22, 24, 26, 28, -30, -27, 29, 31, 33, 35, 32, 34, 36, 38, 40, 37, 39, 41, 43, -45, -42, -44, 46, 48, 50, 47, 49, -1, -3]
[3, 1, -49, -47, -50, -48, -46, 44, 42, 45, -43, -41, -39, -37, -40, -38, -36, -34, -32, -35, -33, -31, -29, 27, 30, -28, -26, -24, -22, -25, -23, -21, -19, -17, -20, 18, -16, -14, -12, 15, -13, -11, -9, -7, -10, -8, -6, -4, -2, -5]
[4, 6, 8, 10, 7, 9, 11, 13, -15, 12, 14, 16, -18, 20, 17, 19, 21, 23, 25, 22, 24, 26, 28, -30, -27, 29, 31, 33, 35, 32, 34, 36, 38, 40, 37, 39, 41, 43, -45, -42, -44, 46, 48, 50, 47, 49, -1, -3, -2, -5]
[1, -49, -47, -50, -48, -46, 44, 42, 45, -43, -41, -39, -37, -40, -38, -36, -34, -32, -35, -33, -31, -29, 27, 30, -28, -26, -24, -22, -25, -23, -21, -19, -17, -20, 18, -16, -14, -12, 15, -13, -11, -9, -7, -10, -8, -6, -4, -3, -2, -5]
[5, 2, 3, 4, 6, 8, 10, 7, 9, 11, 13, -15, 12, 14, 16, -18, 20, 17, 19, 21, 23, 25, 22, 24, 26, 28, -30, -27, 29, 31, 33, 35, 32, 34, 36, 38, 40, 37, 39, 41, 43, -45, -42, -44, 46, 48, 50, 47, 49, -1]
[-49, -47, -50, -48, -46, 44, 42, 45, -43, -41, -39, -37, -40, -38, -36, -34, -32, -35, -33, -31, -29, 27, 30, -28, -26, -24, -22, -25, -23, -21, -19, -17, -20, 18, -16, -14, -12, 15, -13, -11, -9, -7, -10, -8, -6, -4, -3, -2, -5, -1]
[1, 5, 2, 3, 4, 6, 8, 10, 7, 9, 11, 13, -15, 12, 14, 16, -18, 20, 17, 19, 21, 23, 25, 22, 24, 26, 28, -30, -27, 29, 31, 33, 35, 32, 34, 36, 38, 40, 37, 39, 41, 43, -45, -42, -44, 46, 48, 50, 47, 49]
[-47, -50, -48, -46, 44, 42, 45, -43, -41, -39, -37, -40, -38, -36, -34, -32, -35, -33, -31, -29, 27, 30, -28, -26, -24, -22, -25, -23, -21, -19, -17, -20, 18, -16, -14, -12, 15, -13, -11, -9, -7, -10, -8, -6, -4, -3, -2, -5, -1, 49]
[-49, 1, 5, 2, 3, 4, 6, 8, 10, 7, 9, 11, 13, -15, 12, 14, 16, -18, 20, 17, 19, 21, 23, 25, 22, 24, 26, 28, -30, -27, 29, 31, 33, 35, 32, 34, 36, 38, 40, 37, 39, 41, 43, -45, -42, -44, 46, 48, 50, 47]
[-48, -46, 44, 42, 45, -43, -41, -39, -37, -40, -38, -36, -34, -32, -35, -33, -31, -29, 27, 30, -28, -26, -24, -22, -25, -23, -21, -19, -17, -20, 18, -16, -14, -12, 15, -13, -11, -9, -7, -10, -8, -6, -4, -3, -2, -5, -1, 49, 50, 47]
